fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
1003406,113472,Bill Doran,29.9,6,138,1979,OH,71,175,oh,2B,S,R,1982,1993,No
651,115094,Shawn Green,29.9,1,16,1991,IL,76,190,ca,RF,L,L,1993,2007,Yes
166,406878,Brian Roberts,29.7,1000,50,1999,NC,69,175,nc,2B,S,R,2001,2014,No
2197,429713,Grady Sizemore,29.7,3,75,2000,WA,74,205,wa,CF,L,L,2004,2015,Yes
230,113660,Ray Durham,29.5,5,129,1990,NC,68,205,nc,2B,S,R,1995,2008,Yes
6368,430945,Adam Jones,29.5,1000,37,2003,CA,74,215,ca,CF,R,R,2006,2019,Yes
1000700,110719,Don Baylor,29.4,2,39,1967,TX,73,195,tx,DH,R,R,1970,1988,Yes
1677,425664,Shane Victorino,29.3,6,194,1999,HI,69,190,wa,CF,S,R,2003,2015,Yes
6184,502110,J.D. Martinez,29,20,611,2009,FL,75,230,fl,DH,R,R,2011,2023,No
1168,118362,Tino Martinez,28.7,1,14,1988,FL,74,230,fl,1B,L,R,1990,2005,No
1008687,118872,Hal McRae,28.7,6,117,1965,FL,71,180,fl,DH,R,R,1968,1987,No
4106,488726,Michael Brantley,28.7,7,205,2005,WA,74,209,wa,DH,L,L,2009,2023,Yes
5930,455976,Nick Markakis,28.6,1,7,2003,GA,73,210,ga,RF,L,L,2006,2020,No
11,113889,Darin Erstad,28.5,1,1,1995,ND,74,215,nd,CF,L,L,1996,2009,No
1011667,121919,Mike Scioscia,28.5,1,19,1976,PA,74,220,pa,C,L,R,1980,1992,Yes
1012939,123211,Mickey Tettleton,28.5,5,118,1981,OK,74,212,ok,C,S,R,1984,1997,No
5343,543063,Brandon Crawford,28.4,4,117,2008,CA,73,223,ca,SS,L,R,2011,2023,No
1004541,114625,Phil Garner,28.2,8,171,1970,TN,70,175,tn,2B,R,R,1973,1988,No
1010157,120381,Terry Pendleton,28.2,7,179,1982,CA,69,180,ca,3B,S,R,1984,1998,No
1011311,121574,Bill Russell,28.2,9,179,1966,KS,72,175,ks,SS,R,R,1969,1986,Yes
16505,656305,Matt Chapman,28.1,1,25,2014,CA,72,215,ca,3B,R,R,2017,2023,No
1005531,115646,Von Hayes,28,7,163,1979,CA,77,185,ca,RF,L,R,1981,1992,No
1012473,122722,Terry Steinbach,28,9,215,1983,MN,73,195,mn,C,R,R,1986,1999,No
1235,133160,Randy Winn,28,3,65,1995,CA,74,190,ca,CF,S,R,1998,2010,No
8347,452655,Denard Span,28,1,20,2002,DC,72,210,fl,CF,L,L,2008,2018,Yes
1875,285078,Josh Hamilton,27.9,1,1,1999,NC,76,240,nc,CF,L,L,2007,2015,Yes
1012078,122337,Roy Smalley,27.8,35,765,1970,CA,73,185,ca,SS,S,R,1975,1987,Yes
10264,474832,Brandon Belt,27.8,5,147,2009,TX,75,230,tx,DH,L,L,2011,2023,No
1003203,113264,Rick Dempsey,27.7,15,297,1967,TN,72,190,ca,C,R,R,1969,1992,Yes
1008513,118694,Willie McGee,27.6,7,152,1976,CA,73,175,ca,CF,S,R,1982,1999,Yes
1008690,118875,Kevin McReynolds,27.6,1,6,1981,AR,73,210,ar,LF,R,R,1983,1994,No
3797,429666,J.J. Hardy,27.6,2,56,2001,AZ,73,200,az,SS,R,R,2005,2017,Yes
4613,425902,Prince Fielder,27.5,1,7,2002,CA,71,275,fl,1B,L,R,2005,2016,Yes
4720,452104,Chase Headley,27.5,2,66,2005,CO,74,215,co,3B,S,R,2007,2018,No
1014308,124632,Butch Wynegar,27.3,2,38,1974,PA,72,194,pa,C,S,R,1976,1988,Yes
1014455,124780,Richie Zisk,27.3,3,56,1967,NY,73,208,nj,RF,R,R,1971,1983,Yes
1013014,123288,Jason Thompson,27.1,4,75,1975,CA,75,210,ca,1B,L,L,1976,1986,No
1008289,118480,John Mayberry,26.9,1,6,1967,MI,75,220,mi,1B,L,L,1968,1982,Yes
5631,461314,Matt Kemp,26.9,6,181,2003,OK,76,225,ok,CF,R,R,2006,2020,Yes
1011730,121983,Kevin Seitzer,26.7,11,283,1983,IL,71,190,il,3B,R,R,1986,1997,No
1443,407885,Mark Ellis,26.5,9,271,1999,SD,70,190,sd,2B,R,R,2002,2014,No
652,115174,Marquis Grissom,26.4,3,76,1988,GA,71,210,ga,CF,R,R,1989,2005,No
1006482,116603,Lance Johnson,26.4,6,139,1984,OH,71,160,oh,CF,L,L,1987,2000,No
1005630,115744,Dave Henderson,26.3,1,26,1977,CA,74,220,ca,CF,R,R,1981,1994,Yes
1009238,119432,Lloyd Moseby,26,1,2,1978,AR,75,200,ca,CF,L,R,1980,1991,Yes
9874,518934,DJ LeMahieu,26,2,79,2009,CA,76,220,ca,3B,R,R,2011,2023,No
1002119,112180,Chris Chambliss,25.9,31,588,1967,OH,73,215,oh,1B,L,R,1971,1988,No
1106,110383,Rich Aurilia,25.8,24,678,1992,NY,73,200,ny,SS,R,R,1995,2009,No
523,116569,Charles Johnson,25.8,1,10,1989,FL,75,225,fl,C,R,R,1994,2005,Yes
1009746,119954,Ben Oglivie,25.8,11,247,1968,NA,74,170,ny,LF,L,L,1971,1986,Yes
1005006,115108,Mike Greenwell,25.7,3,72,1982,KY,72,200,fl,LF,L,R,1985,1996,Yes
1007961,118132,Dave Magadan,25.6,2,32,1983,FL,76,215,fl,3B,L,R,1986,2001,No
319,276055,Adam Dunn,25.6,2,50,1998,TX,78,285,tx,LF,L,R,2001,2014,Yes
1825,430203,David DeJesus,25.5,4,104,2000,NY,71,190,ny,CF,L,L,2003,2015,No
1286,276545,Michael Young,25.3,5,149,1997,CA,73,200,ca,SS,R,R,2000,2013,No
867,111742,Jeromy Burnitz,25.1,1,17,1990,CA,72,210,ca,RF,L,R,1993,2006,No
4599,430897,Nick Swisher,25.1,1,16,2002,OH,72,195,oh,RF,S,L,2004,2015,No
1003010,113074,Darren Daulton,25,25,629,1980,KS,74,190,ks,C,L,R,1983,1997,Yes
1326,150484,Vernon Wells,25,1,5,1997,LA,73,230,tx,CF,R,R,1999,2013,Yes
14344,621566,Matt Olson,25,1000,47,2012,GA,77,225,ga,1B,L,R,2016,2023,Yes
1004155,114239,Scott Fletcher,24.9,35,698,1976,FL,71,170,oh,SS,R,R,1981,1995,Yes
1005935,116057,Chris Hoiles,24.8,19,489,1986,OH,72,210,oh,C,R,R,1989,1998,No
7859,453568,Charlie Blackmon,24.8,2,72,2008,TX,75,221,tx,DH,L,L,2011,2023,No
518,114260,Cliff Floyd,24.7,1,14,1991,IL,76,230,il,LF,L,R,1993,2009,Yes
1012909,123182,Garry Templeton,24.5,1,13,1974,TX,71,190,az,SS,S,R,1976,1991,Yes
690,132961,Geoff Jenkins,24.5,1,9,1995,WA,73,215,wa,LF,L,R,1998,2008,No
5015,425834,B.J. Upton,24.4,1,2,2002,VA,75,185,va,CF,R,R,2004,2016,Yes
11038,595281,Kevin Kiermaier,24.3,31,941,2010,IN,73,210,in,CF,L,R,2013,2023,No
6265,444843,Andre Ethier,24.2,2,62,2003,AZ,74,210,az,RF,L,L,2006,2017,No
1006850,116989,Terry Kennedy,24.1,1,6,1977,OH,75,220,oh,C,L,R,1978,1991,No
