fg_playerID,person_id,person_full_name,fWAR,pick_round,pick_number,year,person_birth_state_province,person_height,person_weight,home_state,person_primary_position_abbreviation,person_bat_side_code,person_pitch_hand_code,mlb_played_first,mlb_played_last,high_school
1005374,115487,Pete Harnisch,20.6,1,27,1987,NY,72,220,ny,P,S,R,1988,2001,No
1005649,115765,Tom Henke,20.6,20,495,1979,MO,77,215,mo,P,R,R,1982,1995,No
1008454,118648,Ben McDonald,20.5,1,1,1989,LA,79,213,la,P,R,R,1989,1997,No
11762,592789,Noah Syndergaard,20.5,1000,38,2010,TX,78,242,tx,P,L,R,2015,2023,Yes
1010074,120300,Marty Pattin,20.2,7,127,1965,IL,71,180,il,P,R,R,1968,1980,No
8779,489119,Wade Miley,20.2,20,598,2005,LA,73,220,la,P,L,L,2011,2023,Yes
1011061,121308,Don Robinson,20.1,3,68,1975,KY,76,230,wv,P,R,R,1978,1992,Yes
4538,434628,Jason Hammel,20.1,10,284,2002,SC,78,225,sc,P,R,R,2006,2018,No
1000414,110434,Stan Bahnsen,20,4,68,1965,IA,74,203,ia,P,R,R,1966,1982,No
1012279,122537,Lary Sorensen,19.9,8,172,1976,MI,74,210,mi,P,R,R,1977,1988,No
898,123431,Steve Trachsel,19.9,8,215,1991,CA,76,205,ca,P,R,R,1993,2008,No
180,112113,Frank Castillo,19.8,6,140,1987,TX,73,200,tx,P,R,R,1991,2005,Yes
206,119984,Darren Oliver,19.8,3,63,1988,MO,75,250,ca,P,R,L,1993,2013,Yes
707,121556,Glendon Rusch,19.8,17,469,1993,WA,73,225,wa,P,L,L,1997,2009,Yes
3254,502188,Jeff Samardzija,19.7,5,149,2006,IN,76,233,in,P,R,R,2008,2020,No
1706,110397,Steve Avery,19.6,1,3,1988,MI,76,205,mi,P,L,L,1990,2003,Yes
1239,111692,Dave Burba,19.6,2,33,1987,OH,76,255,oh,P,R,R,1990,2004,No
453,123307,John Thomson,19.6,7,212,1993,MS,75,220,ms,P,R,R,1997,2007,No
3815,502009,Mat Latos,19.6,11,333,2006,VA,78,245,va,P,R,R,2009,2017,Yes
1006978,117128,Bruce Kison,19.5,14,308,1968,WA,76,178,wa,P,R,R,1971,1985,Yes
1013197,123480,Steve Trout,19.5,1,8,1976,MI,76,195,il,P,L,L,1978,1989,Yes
1122,150274,Joe Nathan,19.5,6,159,1995,TX,76,230,tx,P,R,R,1999,2016,No
14916,592351,Jon Gray,19.5,1,3,2013,OK,76,225,ok,P,R,R,2015,2023,No
271,136725,Matt Clement,19.4,3,86,1993,PA,74,200,pa,P,R,R,1998,2006,Yes
5975,449097,Jonathan Papelbon,19.3,4,114,2003,LA,77,230,la,P,R,R,2005,2016,No
5842,451532,Chad Billingsley,19.3,1,24,2003,OH,73,240,oh,P,R,R,2006,2015,Yes
1000086,110090,Rick Aguilera,19.2,3,58,1983,CA,77,205,ca,P,R,R,1985,2000,No
1012743,123004,Bruce Sutter,19.2,21,492,1970,PA,74,190,pa,P,R,R,1976,1988,Yes
6562,502171,Alex Cobb,19.2,4,109,2006,MA,75,205,ma,P,R,R,2011,2023,Yes
1001702,111757,Britt Burns,19,3,70,1978,TX,77,215,al,P,L,L,1978,1985,Yes
3580,450351,C.J. Wilson,19,5,141,2001,CA,73,210,ca,P,L,L,2005,2015,No
1010246,120476,Dan Petry,18.7,4,74,1976,CA,76,200,ca,P,R,R,1979,1991,Yes
932,150426,Mark Mulder,18.7,1,2,1998,IL,78,215,il,P,L,L,2000,2008,No
1245,285079,R.A. Dickey,18.5,1,18,1996,TN,75,215,tn,P,R,R,2001,2017,No
1000731,110748,Jim Beattie,18.4,4,91,1975,VA,77,220,va,P,R,R,1978,1986,No
1001007,111034,Bud Black,18.2,17,417,1979,CA,74,180,ca,P,L,L,1981,1995,No
10130,502190,Mike Leake,18.2,1,8,2009,CA,70,165,ca,P,R,R,2010,2019,No
1123,119718,Robb Nen,18.1,32,830,1987,CA,77,220,ca,P,R,R,1993,2002,Yes
1012924,123194,Walt Terrell,18.1,15,366,1979,IN,74,205,in,P,L,R,1982,1992,No
13781,622072,Alex Wood,18.1,2,85,2012,NC,76,215,nc,P,R,L,2013,2023,No
873,113915,Shawn Estes,18,1,11,1991,CA,73,210,nv,P,R,L,1995,2008,Yes
16137,607074,Carlos Rodón,18,1,3,2014,FL,74,255,fl,P,L,L,2015,2023,No
962,408206,Brett Myers,17.8,1,12,1999,FL,76,240,fl,P,R,R,2002,2013,Yes
10021,501985,Mike Minor,17.8,1,7,2009,TN,76,210,tn,P,R,L,2010,2023,No
1005134,115239,Don Gullett,17.7,1,14,1969,KY,72,190,ky,P,R,L,1970,1978,Yes
412,150414,Jake Westbrook,17.7,1,21,1996,GA,75,210,ga,P,R,R,2000,2013,Yes
7450,461833,Phil Hughes,17.7,1,23,2004,CA,77,240,ca,P,R,R,2007,2018,Yes
19361,669203,Corbin Burnes,17.7,4,111,2016,CA,75,246,ca,P,R,R,2018,2023,No
1006114,116240,LaMarr Hoyt,17.6,5,109,1973,SC,74,220,sc,P,R,R,1979,1986,Yes
1841,429719,Edwin Jackson,17.6,6,190,2001,NA,74,215,ga,P,R,R,2003,2019,Yes
1001316,111352,Tom Bradley,17.5,7,143,1968,NC,75,185,nc,P,R,R,1969,1975,No
1013281,123566,Tom Underwood,17.5,2,27,1972,IN,71,170,in,P,R,L,1974,1984,Yes
1013461,123762,Pete Vuckovich,17.5,3,56,1974,PA,76,220,pa,P,R,R,1975,1986,No
6329,433579,John Danks,17.5,1,9,2003,TX,73,210,tx,P,L,L,2007,2016,Yes
8044,450306,Jason Vargas,17.5,2,68,2004,CA,72,215,ca,P,L,L,2005,2019,No
1097,121125,Arthur Rhodes,17.4,2,34,1988,TX,74,220,tx,P,L,L,1991,2011,Yes
480,119215,Brian Moehler,17.2,6,165,1993,NC,75,220,nc,P,R,R,1996,2010,No
11486,592662,Robbie Ray,17.2,12,356,2010,TN,74,225,tn,P,L,L,2014,2023,Yes
743,132980,Eric Milton,17.1,1,20,1996,PA,73,220,pa,P,L,L,1998,2009,No
1001566,111611,Tom Browning,16.9,9,233,1982,WY,73,190,wy,P,L,L,1984,1995,No
